MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2016-07,Aberdeen Station,Train,Entry,Less than 50
2016-07,Aberdeen Station,Train,Exit,Less than 50
2016-08,Aberdeen Station,Train,Entry,Less than 50
2016-08,Aberdeen Station,Train,Exit,Less than 50
2016-09,Aberdeen Station,Train,Entry,Less than 50
2016-09,Aberdeen Station,Train,Exit,Less than 50
2016-10,Aberdeen Station,Train,Entry,70
2016-10,Aberdeen Station,Train,Exit,Less than 50
2016-11,Aberdeen Station,Train,Entry,Less than 50
2016-11,Aberdeen Station,Train,Exit,Less than 50
2016-12,Aberdeen Station,Train,Entry,Less than 50
2016-12,Aberdeen Station,Train,Exit,Less than 50
2017-01,Aberdeen Station,Train,Entry,70
2017-01,Aberdeen Station,Train,Exit,70
2017-02,Aberdeen Station,Train,Entry,60
2017-02,Aberdeen Station,Train,Exit,Less than 50
2017-03,Aberdeen Station,Train,Entry,80
2017-03,Aberdeen Station,Train,Exit,60
2017-04,Aberdeen Station,Train,Entry,70
2017-04,Aberdeen Station,Train,Exit,Less than 50
2017-05,Aberdeen Station,Train,Entry,70
2017-05,Aberdeen Station,Train,Exit,80
2017-06,Aberdeen Station,Train,Entry,80
2017-06,Aberdeen Station,Train,Exit,Less than 50
2017-07,Aberdeen Station,Train,Entry,100
2017-07,Aberdeen Station,Train,Exit,70
2017-08,Aberdeen Station,Train,Entry,70
2017-08,Aberdeen Station,Train,Exit,60
2017-09,Aberdeen Station,Train,Entry,100
2017-09,Aberdeen Station,Train,Exit,80
2017-10,Aberdeen Station,Train,Entry,60
2017-10,Aberdeen Station,Train,Exit,Less than 50
2017-11,Aberdeen Station,Train,Entry,70
2017-11,Aberdeen Station,Train,Exit,Less than 50
2017-12,Aberdeen Station,Train,Entry,60
2017-12,Aberdeen Station,Train,Exit,70
2018-01,Aberdeen Station,Train,Entry,60
2018-01,Aberdeen Station,Train,Exit,60
2018-02,Aberdeen Station,Train,Entry,60
2018-02,Aberdeen Station,Train,Exit,Less than 50
2018-03,Aberdeen Station,Train,Entry,100
2018-03,Aberdeen Station,Train,Exit,80
2018-04,Aberdeen Station,Train,Entry,70
2018-04,Aberdeen Station,Train,Exit,60
2018-05,Aberdeen Station,Train,Entry,90
2018-05,Aberdeen Station,Train,Exit,80
2018-06,Aberdeen Station,Train,Entry,70
2018-06,Aberdeen Station,Train,Exit,Less than 50
2018-07,Aberdeen Station,Train,Entry,90
2018-07,Aberdeen Station,Train,Exit,70
2018-08,Aberdeen Station,Train,Entry,90
2018-08,Aberdeen Station,Train,Exit,70
2018-09,Aberdeen Station,Train,Entry,60
2018-09,Aberdeen Station,Train,Exit,Less than 50
2018-10,Aberdeen Station,Train,Entry,70
2018-10,Aberdeen Station,Train,Exit,60
2018-11,Aberdeen Station,Train,Entry,80
2018-11,Aberdeen Station,Train,Exit,60
2018-12,Aberdeen Station,Train,Entry,80
2018-12,Aberdeen Station,Train,Exit,Less than 50
2019-01,Aberdeen Station,Train,Entry,60
2019-01,Aberdeen Station,Train,Exit,Less than 50
2019-02,Aberdeen Station,Train,Entry,70
2019-02,Aberdeen Station,Train,Exit,Less than 50
2019-03,Aberdeen Station,Train,Entry,80
2019-03,Aberdeen Station,Train,Exit,60
2019-04,Aberdeen Station,Train,Entry,60
2019-04,Aberdeen Station,Train,Exit,60
2019-05,Aberdeen Station,Train,Entry,60
2019-05,Aberdeen Station,Train,Exit,Less than 50
2019-06,Aberdeen Station,Train,Entry,70
2019-06,Aberdeen Station,Train,Exit,Less than 50
2019-07,Aberdeen Station,Train,Entry,70
2019-07,Aberdeen Station,Train,Exit,Less than 50
2019-08,Aberdeen Station,Train,Entry,80
2019-08,Aberdeen Station,Train,Exit,70
2019-09,Aberdeen Station,Train,Entry,Less than 50
2019-09,Aberdeen Station,Train,Exit,Less than 50
2019-10,Aberdeen Station,Train,Entry,80
2019-10,Aberdeen Station,Train,Exit,70
2019-11,Aberdeen Station,Train,Entry,60
2019-11,Aberdeen Station,Train,Exit,Less than 50
2019-12,Aberdeen Station,Train,Entry,80
2019-12,Aberdeen Station,Train,Exit,Less than 50
2020-01,Aberdeen Station,Train,Entry,80
2020-01,Aberdeen Station,Train,Exit,60
2020-02,Aberdeen Station,Train,Entry,70
2020-02,Aberdeen Station,Train,Exit,Less than 50
2020-03,Aberdeen Station,Train,Entry,Less than 50
2020-03,Aberdeen Station,Train,Exit,Less than 50
2020-04,Aberdeen Station,Train,Entry,Less than 50
2020-04,Aberdeen Station,Train,Exit,Less than 50
2020-05,Aberdeen Station,Train,Entry,Less than 50
2020-05,Aberdeen Station,Train,Exit,Less than 50
2020-06,Aberdeen Station,Train,Entry,Less than 50
2020-06,Aberdeen Station,Train,Exit,Less than 50
2020-07,Aberdeen Station,Train,Entry,Less than 50
2020-07,Aberdeen Station,Train,Exit,Less than 50
2020-08,Aberdeen Station,Train,Entry,Less than 50
2020-08,Aberdeen Station,Train,Exit,Less than 50
2020-09,Aberdeen Station,Train,Entry,Less than 50
2020-09,Aberdeen Station,Train,Exit,Less than 50
2020-10,Aberdeen Station,Train,Entry,Less than 50
2020-10,Aberdeen Station,Train,Exit,Less than 50
2020-11,Aberdeen Station,Train,Entry,Less than 50
2020-11,Aberdeen Station,Train,Exit,Less than 50
2020-12,Aberdeen Station,Train,Entry,Less than 50
2020-12,Aberdeen Station,Train,Exit,Less than 50
2021-01,Aberdeen Station,Train,Entry,Less than 50
2021-01,Aberdeen Station,Train,Exit,Less than 50
